Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
"      Vegetables, Preserved Or Prepared, Other Forms",0.1,1,-0.4,-0.6,0.9,0,1.9,1.1,-0.1,1,0.4,-0.6,0.8
"    Sugar, Confectionery & Desserts",2.6,7.3,4.8,4.3,6.2,6.8,6.2,4.5,4.8,4.8,7.1,3.3,2.4
      Sugar,0.7,2.4,0.8,1.1,-0.5,-2,-1.4,-2.1,-3.3,-0.4,-1.5,-3.4,3.6
"      Jams, Fruit Jellies, Fruit Puree & Pastes, Honey",1.9,0.9,-4.9,-3.4,-2,1,-0.1,-1.2,-1.6,-3.7,-1.8,-2.4,-3.3
      Nut Butter & Paste,-2.2,-2,-4.4,3.5,0.1,-0.9,2.3,2.7,-3,-0.2,1,-4.3,-3.5
"      Chocolate, Cocoa, & Cocoa-Based Food Products",4.9,18.2,12.9,6.5,16.9,15.1,14.1,12.2,10.3,12.6,15.5,10.2,2.6
      Ice & Ice Cream,0.7,3.5,5.7,5.3,2.7,5.4,3.8,2.7,7.9,4.5,6.4,1.4,5.8
      Sugar Confectionery & Desserts Nec,3.6,1,1.1,10.9,4.9,4.1,4.7,-0.1,-0.3,2,7.4,3.5,4.2
    Ready-Made Food & Other Food Products Nec,0.8,1.6,0.8,0.1,0.8,0.7,0.5,0.3,-0.4,0.5,0.7,0.8,1
      Ready-Made Food,1.4,1.7,1.8,1.2,0.8,0.7,0.3,0.4,-0.2,0.7,1.1,2.1,2.2
      Baby Food,3.7,8.3,-0.4,1.3,0.9,-0.8,0.3,-1.5,2.2,2.1,0.1,0.9,0.2
"      Salt, Condiments & Sauces",0.8,1.6,0.2,-0.8,0.8,0.2,-0.8,-1.6,-1.1,1.8,3,0.9,0.1
"      Spices, Culinary Herbs & Seeds",1.3,3.2,2.5,2.2,1.1,2.5,3,2.3,0.6,0.7,0.3,0.7,0.4
"      Food Hampers, Incl Fruits",2.5,2.5,0,0,0,-1.4,-3.2,-3.2,-3.2,-3.2,-3.7,-3.7,-3.7
      Other Food Products Nec,-1.2,-0.1,-1.1,-2.1,0.5,1.2,1.7,2.3,-0.6,-1.6,-1.9,-1.7,0.4
    Non-Alcoholic Beverages,5.1,4.2,2.4,2.9,5.6,3.6,3.6,4.3,3.5,2.7,2.6,1.6,0.7
      Fruit & Vegetable Juices,-0.2,0.3,-0.3,0.6,-0.7,-1.2,0.3,2.8,1.3,-0.4,-0.9,0.6,2.5
      Coffee & Coffee Substitutes,8.9,10.5,8,9.8,15.5,12.8,12.9,12.3,11.1,7.5,8.4,6.2,6.4
      Tea,3.5,3.4,0.8,-2.1,2.2,-0.5,-2,-0.5,-0.6,0.3,-0.8,-1.3,-1.9
      Cocoa & Malt-Based Drinks,5.3,2.8,5.1,5.2,8.5,6,6.4,4.3,4.1,3.7,4.7,5.2,4.7
      Water,5.2,3.2,-0.3,2.2,-0.3,3.7,4,10.1,11.4,8.2,6.7,-1.7,-5
      Soft Drinks,5.4,2.9,-0.3,0,-0.6,-0.7,-1.2,-2.6,-1.3,1.2,2.4,-0.7,-5
      Non-Alcoholic Beverages Nec,3.9,-1.9,-2.9,-0.8,2.5,-2.1,-1.3,2.1,-2.1,-1.6,-3.5,-1.8,-3.3
  Clothing & Footwear,1.1,1,0.9,-0.9,-0.4,-1,-0.5,1.2,-0.1,0.2,-2.3,2.2,-3.3
    Clothing,0.8,-0.3,0.2,-0.9,-1.2,-1.6,-0.5,0.7,0.3,-0.2,-1.7,2.2,-3.6
      Garments,0.9,-0.4,0.3,-0.7,-1.1,-1.5,-0.7,0.5,-0.1,-0.4,-1.9,2.5,-3.7
      Other Articles Of Clothing & Clothing Accessories,-3.8,-1.8,-7,-10.6,-6.1,-6.1,8,9.4,14.8,6.9,4.8,-1.4,-1.2
"      Cleaning, Repair, Tailoring & Rental Of Clothing",2.9,2.9,2.9,2.9,2.9,0,0,0,-1.3,-1.2,-1.2,-2.1,-2.1
    Footwear,2.1,5.9,3.7,-0.7,2.4,1.3,-0.7,2.9,-1.6,1.6,-4.3,2.1,-2.1
  Housing & Utilities,0.2,0.2,0.3,0.3,1.7,0.2,0.2,0.3,0.2,0.3,0.3,0.9,1
    Accommodation,0.5,0.4,0.3,0.3,1.9,0.3,0.3,0.3,0.4,0.4,0.5,1,1.1
      Actual Rentals For Housing,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1
      Imputed Rentals For Housing,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.8
      Housing Maintenance & Repairs,2.1,2.9,1.9,2,27.9,1.6,1.5,1.6,1.3,1.2,1.2,4.2,4.2
    Utilities & Other Fuels,-2,-2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-1.6,-1.5,-1.5,0,0.1
      Water Supply,0,0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
      Refuse Collection,0,0,0,0,0,0,0,0,0,0,0,4,4
      Electricity,-3.3,-3.2,-4.5,-4.4,-4.3,-4.5,-4.4,-4.3,-6,-6,-5.9,-4.2,-4
      Gas,-0.2,-0.3,-2.4,-3.1,-3.1,-1.8,-1.8,-1.8,-3.3,-3.3,-3.3,-1,-1
  Household Durables & Services,0.7,1.1,0.9,0.3,-0.2,-0.3,0,-0.4,-0.3,-0.9,-0.5,-0.4,-0.2
    Furniture & Furnishings,1.6,2.5,1.9,0.5,-0.5,-0.4,0.6,-0.1,1.7,-1.8,-1.5,-1.2,-0.8
    Household Textiles,0.9,1,-2.9,-4.3,-3.2,-5.4,-3.7,-7.4,-8.4,-9.4,-6.5,-6.6,-4.2
    Household Appliances,-0.7,0.2,0.3,-0.9,-0.5,-1.3,-0.7,-1.6,-1.6,-0.5,-0.9,0.5,0.4
      Major Household Appliances,-1.7,-0.6,-0.5,-1.5,-1.2,-1.8,-0.5,-1.9,-1.6,-0.7,-1.4,0,-0.3
      Small Household Appliances,-2.1,0,1.8,-1.8,-0.7,-1.8,-3.3,-3.3,-4.7,-1.2,-0.4,1.8,2.3
      Repair & Installation Of Household Appliances,3.2,3.2,1.7,1.7,1.7,0.6,0.6,0.6,0.6,0.6,0.6,1.4,1.4
"    Glassware, Tableware & Household Utensils",-0.3,-0.4,1.7,0.4,1.5,1,-0.7,-2.5,-4.5,-3.5,-0.6,-0.1,2
    Tools & Equipment For House & Garden,-0.7,-1,0.5,0.1,0.1,-0.3,0.5,-1.5,-2.6,-2.4,-0.3,-1.5,-0.7
    Household Services & Supplies,0.9,0.8,0.8,0.8,0.2,0.3,0.3,0.4,0.1,0.2,0.4,0,0
      Non-Durable Household Goods,0.1,-0.8,-0.8,-2.1,0,-0.6,-0.9,0.9,-0.4,1,2.1,-0.3,0.3
      Domestic Services & Household Services,1.1,1.1,1.1,1.3,0.3,0.5,0.5,0.4,0.2,0.1,0.2,0,0
      Other Insurance Nec,-0.5,-0.5,-0.5,-0.5,-0.2,0.7,0.7,0.7,4.6,4.6,4.3,4.3,4.3
  Health,3.1,3.1,4,4.2,4.4,4.2,4.4,4,1.4,2.3,2.4,2.8,2.7
    Medicines & Health Products,2,2,0.6,2.1,0.3,-0.7,-0.7,-0.3,-0.5,0.5,0.1,-1.3,-2
