Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
    Social Services,-3.1,-3.1,-3.2,-3.2,-3.2,-3.8,-3.8,-3.8,-6.1,-6.1,-6.1,1,1
    Other Miscellaneous Services,-0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.1,1,1.9,1.9
  Food & Beverage Serving Services,1.5,1.3,1.3,1.4,1.3,1.4,1.4,1.3,1.5,1.2,1.2,1.1,1.2
"    Restaurants, Cafes & Pubs",1.2,1.1,1.1,1.3,1,1.1,1.1,1.1,0.9,0.6,0.7,0.7,0.8
      Restaurants,1.2,1.2,1.1,1.3,1.1,1.2,1.2,1.2,1,0.7,0.8,0.8,1
      Cafes,0.8,0.8,1,1,1,0.9,0.9,0.9,0.9,0.8,1.1,1.1,1.4
      Pubs,3.2,3.2,2.9,0,-0.5,-1.6,-1.4,-1.1,-1.9,-5.2,-5.2,-8.2,-10.3
    Fast Food Restaurants,1.7,1.6,2.3,2.3,2.3,2.3,2.3,2,4,3.7,3.8,3.3,3.4
"    Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.7,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.5,1.3,1.2,1.2
      Hawker Centres,1.7,1.3,1.2,1.3,1.4,1.6,1.6,1.5,1.7,1.6,1.6,1.5,1.6
"      Food Courts, Coffee Shops & Kiosks",1.7,1.5,1.3,1.4,1.5,1.5,1.5,1.4,1.6,1.4,1.3,1.1,1.1
"    Other Catering Services, Incl Vending Machines",0,0,0,0,0,0,0,0,0,0,0,0,0
All Items Less Accommodation,2.3,2.2,2.3,1.6,1.2,1.5,1.5,1.5,0.8,0.6,0.7,0.7,0.6
All Items Less Imputed Rentals For Housing,2.2,2.2,2.2,1.5,1.8,1.5,1.5,1.5,0.8,0.6,0.7,0.8,0.8
